USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,station_code
035030,99999,TRAWSGOED,UK,,,52.35,-3.95,62.0,1983-08-20 00:00:00,2024-07-02 00:00:00,03503099999
035070,99999,SENNYBRIDGE NO2,UK,,,52.067,-3.617,307.0,1984-06-14 00:00:00,2024-07-02 00:00:00,03507099999
035200,99999,SHOBDON AIRFIELD,UK,,,52.25,-2.883,99.0,1992-08-01 00:00:00,2024-07-02 00:00:00,03520099999
035220,99999,HEREFORD/CREDENHILL,UK,,,52.083,-2.8,76.0,1929-10-01 00:00:00,2024-07-02 00:00:00,03522099999
035290,99999,PERSHORE,UK,,,52.15,-2.033,31.0,1978-03-01 00:00:00,2024-07-02 00:00:00,03529099999
035340,99999,BIRMINGHAM,UK,,EGBB,52.454,-1.748,99.7,1973-01-01 00:00:00,2024-07-02 00:00:00,03534099999
035350,99999,COLESHILL,UK,,,52.483,-1.683,96.0,2001-07-06 00:00:00,2024-07-02 00:00:00,03535099999
035440,99999,CHURCH LAWFORD,UK,,,52.367,-1.333,106.0,1983-08-24 00:00:00,2024-07-02 00:00:00,03544099999
035573,99999,CRANFIELD,UK,,EGTC,52.072,-0.617,109.1,1990-02-08 00:00:00,2024-07-02 00:00:00,03557399999
035600,99999,BEDFORD,UK,,,52.217,-0.483,84.0,1987-04-09 00:00:00,2024-07-02 00:00:00,03560099999
035661,99999,ISLAY,UK,,EGPI,55.682,-6.257,17.1,2004-05-10 00:00:00,2024-07-02 00:00:00,03566199999
035715,99999,CAMBRIDGE,UK,,EGSC,52.205,0.175,14.3,1977-02-01 00:00:00,2024-07-02 00:00:00,03571599999
035770,35046,MILDENHALL RAF,UK,,EGUN,52.367,0.483,10.0,1999-01-01 00:00:00,2024-07-02 00:00:00,03577035046
035830,35034,LAKENHEATH RAF,UK,,EGUL,52.417,0.567,10.0,1999-01-02 00:00:00,2024-07-02 00:00:00,03583035034
035900,99999,WATTISHAM,UK,,EGUW,52.127,0.956,86.6,1973-01-01 00:00:00,2024-07-02 00:00:00,03590099999
036040,99999,MILFORD HAVEN CONSERVANCY BOARD,UK,,,51.7,-5.05,32.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03604099999
036050,99999,PEMBRY SANDS,UK,,EGOP,51.717,-4.367,3.0,1993-03-01 00:00:00,2024-07-02 00:00:00,03605099999
036090,99999,MUMBLES HEAD,UK,,,51.567,-3.983,32.0,1973-01-04 00:00:00,2024-06-04 00:00:00,03609099999
036130,99999,CWMBARGOED,UK,,,51.75,-3.333,372.0,1973-01-01 00:00:00,2024-06-15 00:00:00,03613099999
036333,99999,GLOUCESTERSHIRE,UK,,EGBJ,51.894,-2.167,30.8,1977-10-01 00:00:00,2024-07-02 00:00:00,03633399999
036440,99999,FAIRFORD,UK,,EGVA,51.682,-1.79,87.2,1952-06-10 00:00:00,2024-07-02 00:00:00,03644099999
036470,99999,LITTLE RISSINGTON,UK,,,51.867,-1.683,210.0,1984-06-14 00:00:00,2024-07-02 00:00:00,03647099999
036490,99999,BRIZE NORTON,UK,,EGVN,51.75,-1.584,87.8,1951-08-01 00:00:00,2024-07-02 00:00:00,03649099999
036580,99999,BENSON,UK,,EGUB,51.616,-1.096,68.9,1973-01-01 00:00:00,2024-07-02 00:00:00,03658099999
036720,99999,NORTHOLT,UK,,EGWU,51.553,-0.418,37.8,1973-01-01 00:00:00,2024-07-02 00:00:00,03672099999
036733,99999,LUTON,UK,,EGGW,51.875,-0.368,160.3,1988-01-05 00:00:00,2024-07-02 00:00:00,03673399999
036800,99999,ROTHAMSTED,UK,,,51.8,-0.358,128.0,2013-08-20 00:00:00,2024-07-02 00:00:00,03680099999
036830,99999,STANSTED,UK,,EGSS,51.885,0.235,106.1,1973-01-01 00:00:00,2024-07-02 00:00:00,03683099999
036840,99999,ANDREWSFIELD,UK,,,51.883,0.45,87.0,1998-03-01 00:00:00,2024-07-02 00:00:00,03684099999
036913,99999,SOUTHEND,UK,,EGMC,51.571,0.696,14.9,1988-01-05 00:00:00,2024-07-02 00:00:00,03691399999
036930,99999,SHOEBURYNESS  LANDWICK,UK,,,51.55,0.833,3.0,1929-10-01 00:00:00,2024-07-02 00:00:00,03693099999
037070,99999,CHIVENOR,UK,,EGDC,51.087,-4.15,8.2,1973-01-01 00:00:00,2024-07-02 00:00:00,03707099999
037100,99999,LISCOMBE,UK,,,51.083,-3.6,347.0,1993-01-13 00:00:00,2024-07-02 00:00:00,03710099999
037150,99999,CARDIFF,UK,,EGFF,51.397,-3.343,67.1,1973-01-01 00:00:00,2024-07-02 00:00:00,03715099999
037160,99999,ST ATHAN,UK,,EGDX,51.405,-3.436,49.7,2001-07-06 00:00:00,2024-07-02 00:00:00,03716099999
037243,99999,BRISTOL,UK,,EGGD,51.383,-2.719,189.6,1988-01-05 00:00:00,2024-07-02 00:00:00,03724399999
037400,99999,LYNEHAM,UK,,EGDL,51.505,-1.993,156.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03740099999
037430,99999,LARKHILL,UK,,,51.2,-1.8,133.0,1989-06-01 00:00:00,2024-07-02 00:00:00,03743099999
037460,99999,BOSCOMBE DOWN,UK,,EGDM,51.152,-1.747,124.1,1931-01-01 00:00:00,2024-07-02 00:00:00,03746099999
037490,99999,MIDDLE WALLOP,UK,,EGVP,51.15,-1.567,91.0,1973-08-09 00:00:00,2024-07-02 00:00:00,03749099999
037610,99999,ODIHAM,UK,,EGVO,51.234,-0.943,123.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03761099999
037663,99999,BIGGIN HILL,UK,,EGKB,51.331,0.033,182.3,1988-01-05 00:00:00,2024-07-02 00:00:00,03766399999
037680,99999,FARNBOROUGH,UK,,EGLF,51.276,-0.776,72.5,1988-05-01 00:00:00,2024-07-02 00:00:00,03768099999
037683,99999,CITY,UK,,EGLC,51.505,0.055,5.8,1988-01-29 00:00:00,2024-07-02 00:00:00,03768399999
037690,99999,CHARLWOOD,UK,,,51.144,-0.229,68.0,1992-03-01 00:00:00,2024-07-02 00:00:00,03769099999
037700,99999,ST JAMES PARK,UK,,,51.5,-0.117,5.0,2009-12-18 00:00:00,2024-07-02 00:00:00,03770099999
037720,99999,HEATHROW,UK,,EGLL,51.478,-0.461,25.3,1948-12-01 00:00:00,2024-07-02 00:00:00,03772099999
037760,99999,GATWICK,UK,,EGKK,51.148,-0.19,61.6,1973-01-01 00:00:00,2024-07-02 00:00:00,03776099999
037810,99999,KENLEY AIRFIELD,UK,,,51.3,-0.083,170.0,1988-02-01 00:00:00,2024-07-02 00:00:00,03781099999
037960,99999,LANGDON BAY,UK,,,51.133,1.35,117.0,1973-03-08 00:00:00,2024-07-02 00:00:00,03796099999
037970,35047,MANSTON,UK,,EGMH,51.35,1.333,50.0,1930-02-28 00:00:00,2024-07-02 00:00:00,03797035047
038000,99999,SCILLY/ST. MARY'S,UK,,,49.917,-6.283,45.0,1989-01-24 00:00:00,2024-07-02 00:00:00,03800099999
038030,99999,SCILLY/SAINT MARY'S,UK,,EGHE,49.917,-6.3,31.0,1986-01-01 00:00:00,2024-07-02 00:00:00,03803099999
038060,99999,LANDS END ARPT,UK,,EGHC,50.064,-5.709,63.0,1973-03-08 00:00:00,2024-07-02 00:00:00,03806099999
038080,99999,CAMBORNE,UK,,,50.217,-5.317,88.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03808099999
038090,99999,CULDROSE,UK,,EGDR,50.086,-5.256,81.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03809099999
038230,99999,CARDINHAM  BODMIN,UK,,,50.5,-4.667,199.0,1987-07-08 00:00:00,2024-07-02 00:00:00,03823099999
038270,99999,PLYMOUTH/MOUNTBATTE,UK,,EGDB,50.35,-4.117,27.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03827099999
038390,99999,EXETER,UK,,EGTE,50.734,-3.414,31.1,1973-01-01 00:00:00,2024-07-02 00:00:00,03839099999
